index,name,type,input_shape,output_shape,in_channels,out_channels,kernel_size,stride,padding,dilation,groups,in_features,out_features,num_features,weight_shape,bias_shape,prelu_weight_shape,running_mean_shape,running_var_shape,param_numel,buffer_numel,macs,output_elements,weight_bit,activation_bit,x_min,x_max,full_precision,running_stat,note
60,conv_4.model.0.0.conv.prelu,QuantActPreLu,"[1, 256, 14, 14]","[1, 256, 14, 14]",,,,,,,,,,,,,[256],,,256,0,,50176,,8,-0.20248548686504364,1.3485243320465088,False,True,prelu_then_activation_quant
61,conv_4.model.0.0.conv_dw.conv,Quant_Conv2d,"[1, 256, 14, 14]","[1, 256, 14, 14]",256,256,"[3, 3]","[1, 1]","[1, 1]","[1, 1]",256,,,,"[256, 1, 3, 3]",,,,,2304,0,451584,50176,8,,,,False,,
62,conv_4.model.0.0.conv_dw.bn,BatchNorm2d,"[1, 256, 14, 14]","[1, 256, 14, 14]",,,,,,,,,,256,[256],[256],,[256],[256],512,513,,50176,,,,,,,
63,conv_4.model.0.0.conv_dw.prelu,QuantActPreLu,"[1, 256, 14, 14]","[1, 256, 14, 14]",,,,,,,,,,,,,[256],,,256,0,,50176,,8,-0.3201037347316742,2.105782985687256,False,True,prelu_then_activation_quant
64,conv_4.model.0.0.project.conv,Quant_Conv2d,"[1, 256, 14, 14]","[1, 128, 14, 14]",256,128,"[1, 1]","[1, 1]","[0, 0]","[1, 1]",1,,,,"[128, 256, 1, 1]",,,,,32768,0,6422528,25088,8,,,,False,,
65,conv_4.model.0.0.project.bn,BatchNorm2d,"[1, 128, 14, 14]","[1, 128, 14, 14]",,,,,,,,,,128,[128],[128],,[128],[128],256,257,,25088,,,,,,,
66,conv_4.model.0.1,QuantAct,"[1, 128, 14, 14]","[1, 128, 14, 14]",,,,,,,,,,,,,,,,0,4,,25088,,8,-2.30216121673584,3.2521519660949707,False,False,residual_add_output_quant
67,conv_4.model.1.0.conv.conv,Quant_Conv2d,"[1, 128, 14, 14]","[1, 256, 14, 14]",128,256,"[1, 1]","[1, 1]","[0, 0]","[1, 1]",1,,,,"[256, 128, 1, 1]",,,,,32768,0,6422528,50176,8,,,,False,,
68,conv_4.model.1.0.conv.bn,BatchNorm2d,"[1, 256, 14, 14]","[1, 256, 14, 14]",,,,,,,,,,256,[256],[256],,[256],[256],512,513,,50176,,,,,,,
69,conv_4.model.1.0.conv.prelu,QuantActPreLu,"[1, 256, 14, 14]","[1, 256, 14, 14]",,,,,,,,,,,,,[256],,,256,0,,50176,,8,-0.1649332493543625,0.8791435360908508,False,True,prelu_then_activation_quant
70,conv_4.model.1.0.conv_dw.conv,Quant_Conv2d,"[1, 256, 14, 14]","[1, 256, 14, 14]",256,256,"[3, 3]","[1, 1]","[1, 1]","[1, 1]",256,,,,"[256, 1, 3, 3]",,,,,2304,0,451584,50176,8,,,,False,,
71,conv_4.model.1.0.conv_dw.bn,BatchNorm2d,"[1, 256, 14, 14]","[1, 256, 14, 14]",,,,,,,,,,256,[256],[256],,[256],[256],512,513,,50176,,,,,,,
72,conv_4.model.1.0.conv_dw.prelu,QuantActPreLu,"[1, 256, 14, 14]","[1, 256, 14, 14]",,,,,,,,,,,,,[256],,,256,0,,50176,,8,-0.15431812405586243,2.76716947555542,False,True,prelu_then_activation_quant
73,conv_4.model.1.0.project.conv,Quant_Conv2d,"[1, 256, 14, 14]","[1, 128, 14, 14]",256,128,"[1, 1]","[1, 1]","[0, 0]","[1, 1]",1,,,,"[128, 256, 1, 1]",,,,,32768,0,6422528,25088,8,,,,False,,
74,conv_4.model.1.0.project.bn,BatchNorm2d,"[1, 128, 14, 14]","[1, 128, 14, 14]",,,,,,,,,,128,[128],[128],,[128],[128],256,257,,25088,,,,,,,
75,conv_4.model.1.1,QuantAct,"[1, 128, 14, 14]","[1, 128, 14, 14]",,,,,,,,,,,,,,,,0,4,,25088,,8,-2.259183168411255,3.2643392086029053,False,False,residual_add_output_quant
76,conv_4.model.2.0.conv.conv,Quant_Conv2d,"[1, 128, 14, 14]","[1, 256, 14, 14]",128,256,"[1, 1]","[1, 1]","[0, 0]","[1, 1]",1,,,,"[256, 128, 1, 1]",,,,,32768,0,6422528,50176,8,,,,False,,
77,conv_4.model.2.0.conv.bn,BatchNorm2d,"[1, 256, 14, 14]","[1, 256, 14, 14]",,,,,,,,,,256,[256],[256],,[256],[256],512,513,,50176,,,,,,,
78,conv_4.model.2.0.conv.prelu,QuantActPreLu,"[1, 256, 14, 14]","[1, 256, 14, 14]",,,,,,,,,,,,,[256],,,256,0,,50176,,8,-0.1971278041601181,0.9220935702323914,False,True,prelu_then_activation_quant
